ID,exp_name,dataset,input_size,checkpoint_type,best_epoch,num_regions,path_modes,num_paths_actual,num_iters,tau,xy_weight,feat_weight,normalize_assign,assign_norm,k_spatial,k_feature,init_gamma,lambda_region,lambda_compact,lambda_balance,Dice,IoU,Jaccard,Accuracy,Specificity,Sensitivity,TP,FP,TN,FN,Q_entropy,q_max_mean,q_max_min,empty_region_ratio,region_mass_mean,region_mass_min,region_mass_max,region_mass_std,region_mass_nonzero_ratio,region_mass_cv,dist_margin_mean,logit_margin_mean,feat_xy_dist_ratio,outer_gamma,inner_gamma,uses_mamba,note
A0,A0_vmunet_baseline,ISIC2018,256x256,best_loss,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_no_sp_rgm
A0,A0_vmunet_baseline,ISIC2018,256x256,best_dice,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_no_sp_rgm
A0,A0_vmunet_baseline,ISIC2018,256x256,best_iou,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_no_sp_rgm
A1,A1_sp_rgm_module_only_4x4,ISIC2018,256x256,best_loss,,"(4,4)",yx|xy|graph|reverse_graph,4,5,0.1,2.0,NA,NA,NA,4,4,0.001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,module_only_reference_pre_distance_fix
A1,A1_sp_rgm_module_only_4x4,ISIC2018,256x256,best_dice,,"(4,4)",yx|xy|graph|reverse_graph,4,5,0.1,2.0,NA,NA,NA,4,4,0.001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,module_only_reference_pre_distance_fix
A1,A1_sp_rgm_module_only_4x4,ISIC2018,256x256,best_iou,,"(4,4)",yx|xy|graph|reverse_graph,4,5,0.1,2.0,NA,NA,NA,4,4,0.001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,module_only_reference_pre_distance_fix
R1,R1_sp_rgm_regions_2x2_tau0p2_lite_loss,ISIC2018,256x256,best_loss,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,NA,NA,NA,3,3,0.001,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2x2_reference_pre_distance_fix
R1,R1_sp_rgm_regions_2x2_tau0p2_lite_loss,ISIC2018,256x256,best_dice,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,NA,NA,NA,3,3,0.001,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2x2_reference_pre_distance_fix
R1,R1_sp_rgm_regions_2x2_tau0p2_lite_loss,ISIC2018,256x256,best_iou,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,NA,NA,NA,3,3,0.001,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2x2_reference_pre_distance_fix
S1,S1_sp_rgm_2x2_assign_norm,ISIC2018,256x256,best_loss,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,0.2,True,layer,3,3,0.001,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,softslic_distance_fix_reference
S1,S1_sp_rgm_2x2_assign_norm,ISIC2018,256x256,best_dice,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,0.2,True,layer,3,3,0.001,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,softslic_distance_fix_reference
S1,S1_sp_rgm_2x2_assign_norm,ISIC2018,256x256,best_iou,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,0.2,True,layer,3,3,0.001,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,softslic_distance_fix_reference
S1b,S1b_sp_rgm_2x2_assign_norm_feat0p1,ISIC2018,256x256,best_loss,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,0.1,True,layer,3,3,0.001,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,current_best_bottleneck_reference
S1b,S1b_sp_rgm_2x2_assign_norm_feat0p1,ISIC2018,256x256,best_dice,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,0.1,True,layer,3,3,0.001,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,current_best_bottleneck_reference
S1b,S1b_sp_rgm_2x2_assign_norm_feat0p1,ISIC2018,256x256,best_iou,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,0.1,True,layer,3,3,0.001,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,current_best_bottleneck_reference
S1b-NL,S1b_no_region_loss,ISIC2018,256x256,best_loss,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,0.1,True,layer,3,3,0.001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,test_no_region_aux_loss
S1b-NL,S1b_no_region_loss,ISIC2018,256x256,best_dice,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,0.1,True,layer,3,3,0.001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,test_no_region_aux_loss
S1b-NL,S1b_no_region_loss,ISIC2018,256x256,best_iou,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,0.1,True,layer,3,3,0.001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,test_no_region_aux_loss
S2b,S2b_assign_norm_balance,ISIC2018,256x256,best_loss,,"(2,2)",yx|xy|graph|reverse_graph,4,5,0.2,2.0,0.1,True,layer,3,3,0.001,0.05,0.0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,test_mass_balance_on_s1b
