ID,exp_name,dataset,input_size,checkpoint_type,best_epoch,use_sp_rgm,use_sp_scan,sp_scan_stage,sp_scan_blocks,enabled_sp_scan_block_indices,bottleneck_depth,replace_mode,path_types,num_regions,num_iters,tau,xy_weight,feat_weight,normalize_assign,assign_norm,k_spatial,k_feature,graph_order,token_inner_order,detach_order,Dice,IoU,Jaccard,Accuracy,Specificity,Sensitivity,TP,FP,TN,FN,Q_entropy,q_max_mean,q_max_min,empty_region_ratio,region_mass_mean,region_mass_min,region_mass_max,region_mass_std,region_mass_nonzero_ratio,region_mass_cv,dist_margin_mean,logit_margin_mean,feat_xy_dist_ratio,uses_mamba,note
A0,A0_vmunet_baseline,isic2018,256x256,best_loss,,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8869,0.7967,0.7967,,,,,,,,,,,,,,,,,,,,,,baseline reference
A0,A0_vmunet_baseline,isic2018,256x256,best_dice,,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8869,0.7967,0.7967,,,,,,,,,,,,,,,,,,,,,,baseline reference
A0,A0_vmunet_baseline,isic2018,256x256,best_iou,,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8869,0.7967,0.7967,,,,,,,,,,,,,,,,,,,,,,baseline reference
S1b,S1b_no_region_loss,isic2018,256x256,best_loss,,True,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8862,0.7956,0.7956,,,,,,,,,,,,,,,,,,,,,,external SP-RGM no-region-loss reference
S1b,S1b_no_region_loss,isic2018,256x256,best_dice,,True,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8862,0.7956,0.7956,,,,,,,,,,,,,,,,,,,,,,external SP-RGM no-region-loss reference
S1b,S1b_no_region_loss,isic2018,256x256,best_iou,,True,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8862,0.7956,0.7956,,,,,,,,,,,,,,,,,,,,,,external SP-RGM no-region-loss reference
V1,V1_vssblock_spscan_one_path,isic2018,256x256,best_loss,,False,True,bottleneck_last,last,1,2,one_path,raster|transpose|reverse_raster|graph,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.8918,0.8048,0.8048,,,,,,,,,,,,,,,,,,,,,,bottleneck last block one-path reference
V1,V1_vssblock_spscan_one_path,isic2018,256x256,best_dice,,False,True,bottleneck_last,last,1,2,one_path,raster|transpose|reverse_raster|graph,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.8918,0.8048,0.8048,,,,,,,,,,,,,,,,,,,,,,bottleneck last block one-path reference
V1,V1_vssblock_spscan_one_path,isic2018,256x256,best_iou,,False,True,bottleneck_last,last,1,2,one_path,raster|transpose|reverse_raster|graph,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.8918,0.8048,0.8048,,,,,,,,,,,,,,,,,,,,,,bottleneck last block one-path reference
V2,V2_vssblock_spscan_two_paths,isic2018,256x256,best_loss,,False,True,bottleneck_last,last,1,2,two_paths,raster|transpose|graph|reverse_graph,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.8873,0.7974,0.7974,,,,,,,,,,,,,,,,,,,,,,bottleneck last block two-path reference
