ID,exp_name,dataset,input_size,checkpoint_type,best_epoch,use_sp_rgm,use_sp_scan,sp_scan_stage,replace_mode,num_regions,num_iters,tau,xy_weight,feat_weight,normalize_assign,assign_norm,k_spatial,k_feature,graph_order,token_inner_order,detach_order,Dice,IoU,Jaccard,Accuracy,Specificity,Sensitivity,TP,FP,TN,FN,Q_entropy,q_max_mean,q_max_min,empty_region_ratio,region_mass_mean,region_mass_min,region_mass_max,region_mass_std,region_mass_nonzero_ratio,region_mass_cv,dist_margin_mean,logit_margin_mean,feat_xy_dist_ratio,uses_mamba,perm_valid,note
A0,A0_vmunet_baseline,isic2018,256x256,best_loss,,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8868700892075319,0.7967354758944034,0.7967354758944034,0.9462262144183168,0.9720646203200883,0.8659151403640348,11161292,1119189,38944308,1728299,,,,,,,,,,,,,,,,VM-UNet baseline reference; old run logged test of best model only
A0,A0_vmunet_baseline,isic2018,256x256,best_dice,,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,not available in old baseline log
A0,A0_vmunet_baseline,isic2018,256x256,best_iou,,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,not available in old baseline log
S1b,S1b_no_region_loss,isic2018,256x256,best_loss,220,True,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8861655681434932,0.7955990071760112,0.7955990071760112,0.9453931185278562,0.9686216607601678,0.8731940369558662,11255114,1257126,38806371,1634477,,,,,,,,,,,,,,,,external SP-RGM reference no region loss
S1b,S1b_no_region_loss,isic2018,256x256,best_dice,220,True,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8861655681434932,0.7955990071760112,0.7955990071760112,0.9453931185278562,0.9686216607601678,0.8731940369558662,11255114,1257126,38806371,1634477,,,,,,,,,,,,,,,,external SP-RGM reference no region loss
S1b,S1b_no_region_loss,isic2018,256x256,best_iou,220,True,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8861655681434932,0.7955990071760112,0.7955990071760112,0.9453931185278562,0.9686216607601678,0.8731940369558662,11255114,1257126,38806371,1634477,,,,,,,,,,,,,,,,external SP-RGM reference no region loss
V1,V1_vssblock_spscan_one_path,isic2018,256x256,best_loss,,False,True,bottleneck_last,one_path,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,,,,,,,,,,,,,,,,,,,,,,,,,,not run; no log found
V1,V1_vssblock_spscan_one_path,isic2018,256x256,best_dice,,False,True,bottleneck_last,one_path,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,,,,,,,,,,,,,,,,,,,,,,,,,,not run; no log found
V1,V1_vssblock_spscan_one_path,isic2018,256x256,best_iou,,False,True,bottleneck_last,one_path,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,,,,,,,,,,,,,,,,,,,,,,,,,,not run; no log found
V2,V2_vssblock_spscan_two_paths,isic2018,256x256,best_loss,128,False,True,bottleneck_last,two_paths,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.8872845838381227,0.7974047729999644,0.7974047729999644,0.9460918690898631,0.9700329953723211,0.8716779298893192,11235572,1200583,38862914,1654019,0.42439496517181396,0.8534724712371826,0.525360643863678,0.0,15.999999046325684,15.914422035217285,16.081310272216797,0.08503250032663345,1.0,0.005314531736075878,0.5148430466651917,2.5742151737213135,0.28992587327957153,True,True,best_loss/best_dice/best_iou logged same epoch; best_iou test result from log
V2,V2_vssblock_spscan_two_paths,isic2018,256x256,best_dice,128,False,True,bottleneck_last,two_paths,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.8872845838381227,0.7974047729999644,0.7974047729999644,0.9460918690898631,0.9700329953723211,0.8716779298893192,11235572,1200583,38862914,1654019,0.42439496517181396,0.8534724712371826,0.525360643863678,0.0,15.999999046325684,15.914422035217285,16.081310272216797,0.08503250032663345,1.0,0.005314531736075878,0.5148430466651917,2.5742151737213135,0.28992587327957153,True,True,best_loss/best_dice/best_iou logged same epoch; best_iou test result from log
V2,V2_vssblock_spscan_two_paths,isic2018,256x256,best_iou,128,False,True,bottleneck_last,two_paths,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.8872845838381227,0.7974047729999644,0.7974047729999644,0.9460918690898631,0.9700329953723211,0.8716779298893192,11235572,1200583,38862914,1654019,0.42439496517181396,0.8534724712371826,0.525360643863678,0.0,15.999999046325684,15.914422035217285,16.081310272216797,0.08503250032663345,1.0,0.005314531736075878,0.5148430466651917,2.5742151737213135,0.28992587327957153,True,True,best_loss/best_dice/best_iou logged same epoch; best_iou test result from log
V3,V3_vssblock_spscan_two_paths_spatial,isic2018,256x256,best_loss,201,False,True,bottleneck_last,two_paths,2x2,5,0.2,2.0,0.0,True,layer,3,3,greedy,raster,True,0.8787473954246334,0.7837193794144423,0.7837193794144423,0.942003590045589,0.9673027544250568,0.8633685894300293,11128468,1309966,38753531,1761123,0.39052170515060425,0.8671981692314148,0.564544677734375,0.0,16.0,15.999996185302734,16.000003814697266,0.000004490040737437084,1.0,0.00000028062754608981777,0.5624645352363586,2.8123223781585693,0.0,True,True,best_loss/best_dice/best_iou logged same epoch; best_iou test result from log
